,titles,companies,locations,reviews,descriptions,salaries
115,Senior Digital Market Analyst,Peel-works,Pune,4.5,None,₹20L (Employer Est.)
116,Data Science Trainer,Tech Minds Education,Noida,None,"Job Overview:
We are looking for an experienced and knowledgeable Data Scientist Trainer to join our team. The ideal candidate will have a deep understanding of data science concepts, tools, and methodologies, as well as a passion for educating and mentoring aspiring data scientists. The Data Scientist Trainer will play a crucial role in developing and delivering training programs to enhance the skills of individuals seeking to enter or advance in the field of data science.
Responsibilities:
1. Curriculum Development:
Design and develop comprehensive and up-to-date training materials covering a wide range of data science topics, including statistical analysis, machine learning, data visualization, and more.
Stay abreast of industry trends and emerging technologies to continuously update training content.
Train in Python, R Programming, Machine learning, Deep Learning, NLP, Computer Vision, Reinforcement Learning, Data wrangling, Integration with Big Data Hadoop, Scoop, Impala, Hive, Pig & Spark, Data Wrangling, Models, Data mining, and Algorithms. Also train on time series and forecasting, SQL, queries, PowerBI & Tableau Data Visualization.
2. Training Delivery:
Conduct engaging and interactive training sessions, workshops, and lectures to individuals and groups.
Adapt training programs to different skill levels, ensuring content is accessible to beginners while challenging advanced learners.
3. Hands-on Exercises:
Create practical, hands-on exercises and projects to reinforce theoretical concepts and provide real-world applications of data science skills.
Provide guidance and support as participants work on projects, encouraging problem-solving and critical thinking.
4. Mentorship and Support:
Offer one-on-one mentorship and support to trainees, providing guidance on individual projects and helping them overcome challenges.
Foster a collaborative and supportive learning environment.
5. Assessment and Feedback:
Develop and implement assessments to evaluate the progress and proficiency of trainees.
Provide constructive feedback to help individuals improve their skills and knowledge.
6. Stay Updated:
Keep abreast of advancements in data science, machine learning, and related fields.
Continuously enhance personal knowledge and training materials to reflect the latest industry standards.
Job Requirements:
Proven experience as a Data Scientist with a strong understanding of statistical analysis, machine learning, and data analysis.
Bachelor, Master's or Ph.D. in a relevant field (e.g., Data Science, Statistics, Computer Science).
Previous experience in training or teaching data science concepts to individuals or groups. (Minimum 1 year of experience)
Excellent communication and presentation skills.
Strong mentoring and coaching abilities.
Ability to tailor training content to different learning styles and levels.
If you are passionate about empowering individuals with the skills and knowledge needed for success in the field of data science, we invite you to apply. Please submit your resume along with a cover letter outlining your experience in data science and training.
Job Types: Full-time, Permanent
Salary: ₹20,000.00 - ₹40,000.00 per month
Benefits:
Flexible schedule
Leave encashment
Paid sick time
Work from home
Schedule:
Day shift
Evening shift
Fixed shift
Monday to Friday
Morning shift
Supplemental pay types:
Joining bonus
Performance bonus
Yearly bonus
Experience:
total work: 1 year (Required)
Ability to Commute:
Noida, Uttar Pradesh (Required)
Ability to Relocate:
Noida, Uttar Pradesh: Relocate before starting work (Required)
Work Location: In person
Speak with the employer
+91 7838118695",₹20T - ₹40T (Employer Est.)
117,Senior Data Engineer,ACI LOGISTIX LABS PVT LTD,India,None,"Location: Bangalore
Type: Full Time
Title: Senior Data Engineer
About Us:
ACI is one of the fastest growing provider of US parcel logistics services, focusing on online and offline commerce – and everything in between. And we are just getting started. Our Leadership Team owns a Successful track record of developing innovative small package shipping and global logistics solutions for our client. We have driven world class solutions for many of the biggest and most recognized brands across media, ecommerce, and retail sectors.
Our company has quadrupled in size the last two years, and the next two years look to be just as explosive. Right now, we have international partners across the globe funnelling their e-commerce deliveries through us. We are deploying new parcel sortation facilities across the United States.
From revenues perspective, we are clocking 200 + Million USD of yearly revenues and have ambitious targets to reach 500 Million USD of annual revenues in the next 3 – 4 years and finally become a Billion USD organization in the next 10 years.
As we are experiencing explosive growth, we need talented engineers who want to grow with us! We are building, managing a highly scalable platform leveraging microservices architecture, Kubernetes, REDIS, Kafka/RabbitMQ, Azure Cloud native services etc, to support this growth. Over the next several years, our technology team will be going deep into warehouse automation, AI, ML, IoT, and data technologies.
Our primary engineering team in Bengaluru, India is core to our vision. In June 2022, we have set up a wholly owned subsidiary of ACI office in Bangalore and is fully operational. We intend to grow our Bengaluru division long-term, investing heavily in talent and leadership.
Home - ACI Group (aci-group.com)
About You:
At ACI, we are looking for a Senior Data Engineer. Your primary responsibilities will be to design and develop data pipeline, and to coordinate with the rest of the team working on different layers of the infrastructure. Therefore, a commitment to collaborative problem solving, sophisticated design, and quality product is essential
We’re looking to bring on board people who embody our core values:
· You are cloud-ready – You are familiar with various aspects of cloud technologies and have successfully helped customers adopt the usage of the cloud. You have advised on and architected solutions that involve industry-leading IaaS and PaaS solutions.
· You are a great listener - Our goal is to build solutions that last for years and continuously adapt to changing needs of the industry. You are a great listener to your customers, peers, industry trends and are receptive to what the market needs.
· You are a collaborator - You enjoy working with multi-cultural teams, both domestic and international. You also work well with a variety of roles including core development, design, operations, and support.
· You believe in continuous learning - Things change in our industry continuously, and you always love to learn both the underlying technology and the business motivations of our customers, constantly finding new ways to improve our solution, processes to add value for our customers
· You are Proactive and Willing to take responsibility, ownership of work and ready to contribute to rapid growth within a dynamic, small company culture!
What you’ll do:
· Translate storyboards and use cases into technical implementation and functional applications
· You will be building high performance services, which will live in cloud (Azure) and/or on-premises environments
· Design, build, and maintain efficient, reusable, and reliable data pipeline
· Ensure the best possible performance, quality, and responsiveness of applications
· Identify bottlenecks and bugs, and devise solutions to these problems
· Help maintain code quality, organization, and automatization
· Development and implementation experience with object-oriented programming languages, design patterns and design principles
· Conducts system-wide testing and some integration testing
· Identifies potential opportunities for code optimization
· Provides input for code reviews and helps with environment build deployments, release notes and build notices
· Reviews code to proactively identify and mitigate potential issues and defects and helps to identify sources of defects as well as troubleshoots various forms of code.
What you’ll bring in:
· 3 to 6 years of experience working with Data Engineering and related technologies.
· Knowledge in data warehouse
· Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL)
· Experience in database technologies, preferably Azure SQL, MS SQL Server, SSMS, Azure Data Factory, Data Lake, python and Azure Synapse.
· Knowledge/Experience in Power BI
· Good knowledge in Statistical methods
· Experience building ‘big data’ data pipelines, architectures and data sets.
· Good analytic skills related to working with structured and unstructured datasets.
· Excellent problem solving and troubleshooting skills
· Solid understanding of software testing practices.
Nice to Have:
· Skill in Graph DB will be added advantage
· Stream processing skill set will be added advantage.
· Knowledge of algorithms and data structures.
Benefits:
At ACI, we believe in enabling everyone to do their life's best work. We will provide an environment of Full Ownership & Full Responsibility that enables you with the ability to make change.
Apart from your Salary, some of the key benefits that we provide include:
· Support towards learning and development
· Medical benefits under Company Group Medical Coverage Policy, Term Life
Job Type: Full-time
Salary: From ₹1,200,000.00 per year
Benefits:
Flexible schedule
Health insurance
Life insurance
Paid sick time
Paid time off
Provident Fund
Schedule:
Day shift
Experience:
total work: 3 years (Preferred)
Ability to Commute:
Domlur, Bengaluru, Karnataka (Required)
Ability to Relocate:
Domlur, Bengaluru, Karnataka: Relocate before starting work (Required)
Work Location: In person",₹12L (Employer Est.)
118,Academic Content Writer,WRS INDIA,Mohali,None,"Job Overview: We are seeking a highly motivated and skilled Academic Content Writer (1year-1.5 years) to join our team. The ideal candidate should have a strong background in research and development (R&D) and a passion for creating high-quality educational content, such as Masters and Doctorate. As an Academic Content Writer, you will be responsible for producing engaging and informative materials for a variety of academic subjects related to Computer Science Engineering, Information Technologies, Electronic and communication, and levels.
Responsibilities:
Develop well-researched and engaging content for educational courses, including research proposals, problem statement, problem formulations, research gaps, presentation, thesis dissertation, and Literature Review materials.
Write a review, systematic, comprehensive, and research articles on technical topics, such as digital image processing (DIP), data mining, cloud computing, big data, Wireless Sensor Network (WSN), VANET, MANET, Bluetooth, Internet-of-things (IoT), Scheduling, Virtual Machines, Machine Learning, Signal processing, Natural Language Processing, Deep Learning, Artificial Intelligence, Wireless Body Area Network (WBAN), etc., ensuring accuracy and clarity of information.
Collaborate with subject matter experts to gather information, understand complex concepts, and translate them into easily understandable content for various audiences.
Edit and proofread content to ensure high quality, adherence to brand guidelines, and grammatical accuracy.
In proofreading, writing errors like spelling, punctuation, and other such grammatical errors are removed. In thesis proofreading service following things are considered:
Spelling mistakes
How properly are the words used in the content?
How correctly are commas, full stops, colons, semicolons used?
With professional Dissertation Editing, following things are achieved:
Significant improvement in overall quality of writing.
Enhancement in the use of language
Expressions are more clearly elaborated
error and inconsistency in the report is reduced
More impactful writing
Comprehensive familiarity with various journals, including those affiliated with national and international journals like IEEE, Scopus, Springer, Elsevier, MDPI, and those indexed in SCI/ESCI and UGC-care.
Providing substantial support and feedback during the preparation and defense of the M.Tech thesis or PhD dissertation, ensuring it meets the required standards and contributes significantly to the field.
Ensuring the quality and rigor of the research conducted by students, aligning with the standards and expectations of academic and professional communities.
Encouraging students to think innovatively, fostering creativity, and exploring new research avenues within their respective fields of study.
Aiding students in preparing research articles and manuscripts for publication in reputed journals, guiding them on the submission and review process.
Educating students about research ethics, ensuring compliance with ethical guidelines, and promoting responsible conduct of research.
Assisting students in conducting thorough literature reviews to identify existing research gaps and provide a foundation for their own research.
Requirements:
Master's degree in a relevant field, such as Computer Science, Engineering, or a related discipline.
Proven experience as a Technical Content Writer, preferably in an academic or educational setting.
Excellent written and verbal communication skills to effectively convey complex research concepts to a diverse audience, including academics, students, and professionals.
A strong portfolio showcasing academic writing skills, research-oriented content, or relevant published works.
Strong research skills and the ability to analyze complex technical concepts and present them in an accessible manner.
Understanding of plagiarism and its implications in academic writing. Commitment to producing original, plagiarism-free content while properly citing and referencing external sources.
Attention to detail and commitment to producing high-quality, plagiarism free content.
Ability to manage time effectively, prioritizes tasks, and meet deadlines in a fast-paced academic writing environment.
Strong organizational and time management skills.
Capability to comprehend and interpret research papers, academic journals, and scholarly articles across various disciplines. Ability to synthesize information and present it in a coherent and informative manner.
Strong command of the English language, including grammar, syntax, punctuation, and style. Ability to write clear, concise, and well-structured academic content that adheres to academic standards.
Skills:-
Good communication skills
Good in Vocabulary
Experience in all microsoft office, LATEX.
Excellent skills in english writing
Machine learning, Deep Learning, and Artificial Intelligence algorithms
Field wireless sensor network/ VANET/MANET/Bluetooth/IoT
Digital image processing/Natural Processing/Signal Processing
Data mining/Big Data/Data Science
Knowledge about high level publications related to review and research article writing.
Good Knowledge in Cloud computing, Job Scheduling, Virtual Machine, Image Enhancement, Image Registration, etc.
Job Type: Full-time
Salary: ₹15,000.00 - ₹20,000.00 per month
Schedule:
Day shift
Experience:
Content writing: 1 year (Preferred)
Language:
English (Preferred)
Ability to Commute:
Mohali, Punjab (Required)
Ability to Relocate:
Mohali, Punjab: Relocate before starting work (Required)
Work Location: In person
Speak with the employer
+91 9779111611",₹15T - ₹20T (Employer Est.)
119,Academic Content Writer,Codigo Mantra,Mohali,None,"Job Overview: We are seeking a highly motivated and skilled Academic Content Writer (1year-1.5 years) to join our team. The ideal candidate should have a strong background in research and development (R&D) and a passion for creating high-quality educational content, such as Masters and Doctorate. As an Academic Content Writer, you will be responsible for producing engaging and informative materials for a variety of academic subjects related to Computer Science Engineering, Information Technologies, Electronic and communication, and levels.
Responsibilities:
Develop well-researched and engaging content for educational courses, including research proposals, problem statement, problem formulations, research gaps, presentation, thesis dissertation, and Literature Review materials.
Write a review, systematic, comprehensive, and research articles on technical topics, such as digital image processing (DIP), data mining, cloud computing, big data, Wireless Sensor Network (WSN), VANET, MANET, Bluetooth, Internet-of-things (IoT), Scheduling, Virtual Machines, Machine Learning, Signal processing, Natural Language Processing, Deep Learning, Artificial Intelligence, Wireless Body Area Network (WBAN), etc., ensuring accuracy and clarity of information.
Collaborate with subject matter experts to gather information, understand complex concepts, and translate them into easily understandable content for various audiences.
Edit and proofread content to ensure high quality, adherence to brand guidelines, and grammatical accuracy.
In proofreading, writing errors like spelling, punctuation, and other such grammatical errors are removed. In thesis proofreading service following things are considered:
Spelling mistakes
How properly are the words used in the content?
How correctly are commas, full stops, colons, semicolons used?
With professional Dissertation Editing, following things are achieved:
Significant improvement in overall quality of writing.
Enhancement in the use of language
Expressions are more clearly elaborated
error and inconsistency in the report is reduced
More impactful writing
Comprehensive familiarity with various journals, including those affiliated with national and international journals like IEEE, Scopus, Springer, Elsevier, MDPI, and those indexed in SCI/ESCI and UGC-care.
Providing substantial support and feedback during the preparation and defense of the M.Tech thesis or PhD dissertation, ensuring it meets the required standards and contributes significantly to the field.
Ensuring the quality and rigor of the research conducted by students, aligning with the standards and expectations of academic and professional communities.
Encouraging students to think innovatively, fostering creativity, and exploring new research avenues within their respective fields of study.
Aiding students in preparing research articles and manuscripts for publication in reputed journals, guiding them on the submission and review process.
Educating students about research ethics, ensuring compliance with ethical guidelines, and promoting responsible conduct of research.
Assisting students in conducting thorough literature reviews to identify existing research gaps and provide a foundation for their own research.
Requirements:
Master's degree in a relevant field, such as Computer Science, Engineering, or a related discipline.
Proven experience as a Technical Content Writer, preferably in an academic or educational setting.
Excellent written and verbal communication skills to effectively convey complex research concepts to a diverse audience, including academics, students, and professionals.
A strong portfolio showcasing academic writing skills, research-oriented content, or relevant published works.
Strong research skills and the ability to analyze complex technical concepts and present them in an accessible manner.
Understanding of plagiarism and its implications in academic writing. Commitment to producing original, plagiarism-free content while properly citing and referencing external sources.
Attention to detail and commitment to producing high-quality, plagiarism free content.
Ability to manage time effectively, prioritizes tasks, and meet deadlines in a fast-paced academic writing environment.
Strong organizational and time management skills.
Capability to comprehend and interpret research papers, academic journals, and scholarly articles across various disciplines. Ability to synthesize information and present it in a coherent and informative manner.
Strong command of the English language, including grammar, syntax, punctuation, and style. Ability to write clear, concise, and well-structured academic content that adheres to academic standards.
Skills:-
Good communication skills
Good in Vocabulary
Experience in all microsoft office, LATEX.
Excellent skills in english writing
Machine learning, Deep Learning, and Artificial Intelligence algorithms
Field wireless sensor network/ VANET/MANET/Bluetooth/IoT
Digital image processing/Natural Processing/Signal Processing
Data mining/Big Data/Data Science
Knowledge about high level publications related to review and research article writing.
Good Knowledge in Cloud computing, Job Scheduling, Virtual Machine, Image Enhancement, Image Registration, etc.
Job Type: Full-time
Pay: ₹15,000.00 - ₹25,000.00 per month
Schedule:
Day shift
Monday to Friday
Experience:
Content writing: 1 year (Preferred)
Language:
English (Preferred)
Ability to Commute:
Mohali, Punjab (Preferred)
Ability to Relocate:
Mohali, Punjab: Relocate before starting work (Preferred)
Work Location: In person",₹15T - ₹25T (Employer Est.)
120,Power Platform Technical Architect,Triad Resourcing,Orissa,None,"Power Platform Technical Architect
Location Based at client locations or working remotely
Salary Negotiable, plus company benefits
Job Overview
Triad Group Plc is seeking a highly skilled and experienced Power Platform Technical Architect to join our dynamic team. As a Power Platform Technical Architect, you will play a pivotal role in designing, implementing, and maintaining scalable solutions built on the Microsoft Power Platform. The successful candidate will possess a deep understanding of Power Apps, Power Automate, Power BI, Dataverse, and C# and will be responsible for translating business requirements into robust, efficient, and scalable Power Platform solutions.
The role will involve assessing new methods and technologies (within the power platform and outside) to inform the direction of the development, before implementing recommendations.
As a consultant at Triad, you will play a pivotal role in shaping the technological landscape, defining, designing, and delivering digital solutions across public, private, and third sectors. Operating within a Company that values autonomy and creativity, you will be at the forefront of solving complex problems, contributing to a culture of innovation that has been the hallmark of Triad’s 35-year success story.
Why Triad:
Glassdoor score of 4.8/5
95% of our staff would recommend Triad to a friend
100% CEO approval
“At Triad, I’ve felt a sense of support and community from day one. The range of projects and flexibility to try different roles means I can forge my own career path with the support of my peers.”
About Us
Join an award-winning team recognised twice for “Project Excellence” at “The Chartered Institute for IT & Computing Awards.” Triad operates at the heart of the public sector, understanding its technology challenges, and delivering goals at the best value for UK citizens. We are on a mission to become the UK’s favourite technology company by 2025.
Triad defines, designs, and delivers digital solutions, boasting a 35-year track record of success across public, private, and third sectors. Our flat management structure and absence of burdensome hierarchy promote autonomy, fostering a creative and innovative environment for solving complex problems.
Responsibilities
Solution Design and Architecture:
Collaborate with business stakeholders to understand requirements and translate them into technical solutions leveraging the Power Platform.
Design end-to-end solutions on Power Platform, considering scalability, security, and performance aspects.
Experience architecting C# solutions.
Technical Leadership:
Provide technical leadership and guidance to development teams on Power Platform best practices.
Mentor and coach team members to enhance their Power Platform skills and knowledge.
Customisation and Development:
Develop custom Power Apps, Power Automate flows, and Power BI reports to meet business requirements.
Create and customise entities, fields, forms, and views in Dataverse.
Integration:
Design and implement integrations between Power Platform and other enterprise systems.
Work with APIs and connectors to ensure seamless data flow between Power Platform and external systems.
Governance and Compliance:
Define and implement governance policies for Power Platform usage.
Ensure compliance with organisational and industry-specific regulations.
Performance Optimisation:
Monitor and optimise the performance of Power Platform solutions.
Identify and resolve performance bottlenecks and scalability issues.
Documentation:
Create and maintain comprehensive technical documentation for Power Platform solutions.
Document best practices, guidelines, and standards for Power Platform development.
Qualifications:
Hold current SC-level security clearance.
Bachelor’s degree in computer science, Information Technology, or a related field.
Proven experience as a Technical Architect with a focus on Microsoft Power Platform.
In-depth knowledge of Power Apps, Power Automate, Power BI, Dataverse, and substantial experience in C# architecture.
Strong understanding of data modelling and relational database concepts.
Experience in designing and implementing complex Power Platform solutions.
Familiarity with Microsoft Azure services and integration capabilities.
Excellent communication and interpersonal skills.
Relevant certifications in Power Platform are a plus.
Preferred Skills:
Microsoft Certified: Power Platform Solution Architect Expert.
Experience with Power Virtual Agents.
Knowledge of AI and machine learning concepts within Power Platform.
What you will get
25 days annual leave, excluding bank holidays.
Matched pension contributions of 5%.
Free private health care and medical cover with Bupa (taxable as a benefit).
Perkbox membership.
Gym membership (up to £40 per month towards membership plus free membership at Lakeshore Fitness in Milton Keynes).
Cycle to work scheme.
Free Health and Wellbeing services (AIG Smart Health and Canada Life WeCare).
What do our colleagues have to say?
Please see for yourself on Glassdoor and our “Day in the life” videos at the top of our Career Page
Interested?
Please contact Ryan Jordan for the full job description or submit your application now.
Triad is an equal opportunities employer and welcomes applications from all suitably qualified people regardless of sex, race, disability, age, sexual orientation, gender reassignment, religion, or belief.
We are proud that our recruitment process has been recognised as inclusive and accessible to disabled people who meet the minimum criteria for any role. We are a signatory on the Tech Talent Charter that aims to bring industries and organisations together to drive greater inclusion and diversity in technology roles, in addition, as a Disability Confident employer, our recruitment process is inclusive and accessible to disabled people who meet the minimum criteria for any role.",None
121,Machine Learning Engineer/Researcher,ArtPark - I-Hub for Robotics and Autonomous Systems Innovation Foundation,Bengaluru,None,None,None
122,Data Scientist,Oracle,Bengaluru,3.8,None,₹5L - ₹9L (Glassdoor Est.)
123,Machine Learning Engineer,EC2 Consulting Solutions,Bengaluru,None,"Note: This is a hybrid role. 3 days work-from-office and 2 days work-from-home.
Overview:
We are seeking a highly skilled Python Developer and Machine Learning Engineer with a
strong background in Large Language Models (LLMs), particularly with experience in
Machine Learning. The ideal candidate should possess expertise in deploying LLMs like
Llama 2 and have hands-on experience with GPTs. Familiarity with deploying models on
Hugging Face is highly desirable, and while DevOps experience is preferred.
Requirements:
● Bachelor's or Master's degree in Computer Science, Machine Learning, or a related field.
● Minimum of 3 years of hands-on experience in Machine Learning, with a focus on Large Language Models.
● Proven experience in deploying LLMs like Llama 2 and GPTs.
● Familiarity with deploying models on Hugging Face is highly preferred.
● Strong programming skills in Python.
● Excellent problem-solving and analytical skills.
Preferred Qualifications:
● Experience with DevOps practices is preferred but not mandatory.
● Knowledge of cloud computing platforms for scalable model deployment.
● Strong understanding of natural language processing (NLP) concepts.
If you are passionate about Large Language Models, have a strong foundation in Machine Learning, and are excited about contributing to cutting-edge projects, we invite you to apply and join our dynamic team!
Job Type: Full-time
Salary: ₹499,828.36 - ₹1,500,000.00 per year
Benefits:
Work from home
Schedule:
Day shift
Experience:
Machine learning: 2 years (Required)
Large Language Models: 2 years (Required)
Chat GPT: 1 year (Required)
Work Location: In person",₹5L - ₹15L (Employer Est.)
124,Data Scientist – NextGen QMS,Lilly,Bengaluru,4.1,None,₹8L - ₹10L (Glassdoor Est.)
125,Sr Machine Learning Engineer - GenAI,ArtPark - I-Hub for Robotics and Autonomous Systems Innovation Foundation,Bengaluru,None,None,None
126,Compliance & Administrative Officer,ArtPark - I-Hub for Robotics and Autonomous Systems Innovation Foundation,Bengaluru,None,None,None
127,AI Engineer,GEEKRABIT PRIVATE LIMITED,Remote,4.6,"Job Description: AI/ML Developer
Experience Level: Fresher/Experienced
Company: Geekrabit Private Limited
Location: Remote
About Us:
Geekrabit Private Limited stands at the forefront of AI and Machine Learning innovation. We are on the lookout for passionate and dedicated AIML Developers to join our team. If you're a fresher, this is your chance to learn from experts and contribute to cutting-edge projects.
Position Overview:
We are seeking AIML Developer freshers with a keen interest in understanding Large Language Models (LLMs) and various AI technologies. Your role will involve exploration and learning in the following key areas:
Responsibilities:
1. **Understanding Large Language Models (LLMs):**
- Familiarize yourself with the top 5 LLMs, including OpenAI's GPT models, Google's BERT, Facebook's BART, Hugging Face's Transformers library, and NVIDIA's Megatron.
- Learn about their architectures, use-cases, strengths, and limitations.
2. **Fine-Tuning of LLMs:**
- Learn the process of fine-tuning LLMs on specific datasets to enhance their performance for particular tasks or domains.
- Understand data requirements, the fine-tuning process, and potential challenges.
3. **Retrieval-Augmented Generation (RAG):**
- Explore how RAG combines retrieval-based and generative methods for tasks like question answering and document summarization.
4. **LLM Inference:**
- Dive into best practices for deploying LLMs for inference, optimizing performance, and managing resources.
5. **Agents:**
- Understand the concept of agents in the context of LLMs and AI, exploring their applications in various tasks.
6. **Prompt Engineering:**
- Learn techniques for designing effective prompts to achieve desired outputs from LLMs.
- Recognize that different models may require different prompting strategies.
7. **Context Awareness in Prompting:**
- Explore strategies for maintaining context in conversations with LLMs, especially in long or multi-turn interactions.
8. **Understanding LLM Hallucination:**
- Understand the phenomenon of LLMs generating plausible but incorrect or nonsensical answers.
- Learn how to mitigate and manage this issue.
9. **Vector Databases and Their Usage:**
- Explore vector databases like Pinecone or FAISS, understanding their functionality and applications in similarity search and recommendation systems.
10. **Graph Databases and Their Usage:**
- Gain knowledge of graph databases (e.g., Neo4j) and their distinctions from traditional relational databases.
- Learn about use-cases in social networks, fraud detection, and knowledge graphs.
11. **Langchain:**
- Investigate Langchain and its applications in building solutions leveraging language models.
12. **Hugging Face:**
- Explore Hugging Face as a hub for machine learning models.
- Understand their model repository, usage of the transformers library, and model training and hosting services.
Requirements:
- Bachelor's or Master's degree in Computer Science, AI, or a related field.
- Strong passion for AI and Machine Learning.
- Eagerness to learn and adapt to new technologies.
- Excellent problem-solving and communication skills.
If you are excited to kickstart your career in AI and Machine Learning with Geekrabit Private Limited, apply now and be part of a dynamic team that's shaping the future of technology.
*Geekrabit Private Limited is an equal opportunity employer. We encourage applications from candidates of all backgrounds and experiences.*
You can apply via email:
- kapil.geekrabit@gmail.com
- ashutosh.geekrabit@gmail.com
Contact No.: 7489205587
Job Types: Full-time, Permanent
Salary: ₹240,000.00 - ₹350,000.00 per year
Schedule:
Day shift
Education:
Bachelor's (Required)
Experience:
AIML: 1 year (Required)
BE/B.tech(CS/IT) Must be: 4 years (Required)
Language:
Fluent Communication in english (Required)
Work Location: Remote
Speak with the employer
+91 7498205587",₹2L - ₹4L (Employer Est.)
128,AI/ML Experienced,GEEKRABIT PRIVATE LIMITED,Remote,4.6,"Job Description: AI Engineer - Generative AI and Large Language Models(2 years experience)
Company: Geekrabit Private Limited
Location: Remote
Type: Full-time
About Us:-
AI Engineer - Generative AI and Large Language Models
About Us:
Geekrabit Private Limited is a forward-thinking technology company dedicated to pushing the boundaries of AI and Machine Learning. We are seeking experienced AI/ML Developers to join our dynamic team and contribute to cutting-edge projects in the field. If you have a passion for AI and a desire to work with top-of-the-line technologies like Large Language Models (LLMs), Langchain, Hugging Face Transformers, and more, we want to hear from you.
Overview:
We are actively looking for AI Engineers with expertise in Generative AI and a deep understanding of Large Language Models like GPT-3. We welcome both experienced professionals and freshers to join us on the cutting edge of AI development, where you can contribute to pushing the boundaries of machine learning applications and exceeding customer expectations.
Key Responsibilities:
- Innovative Generative Model Development: Creatively develop AI features and products using generative models while ensuring they meet our innovation and performance standards.
- Proficient Query Crafting: Master the art of crafting queries and refining prompts to unlock the full potential of Large Language Models (LLMs).
- Leadership in Advanced Projects: Take the lead in projects that incorporate state-of-the-art AI technologies, showcasing hands-on expertise with relevant tools and platforms.
- AI Research Proficiency: Stay up-to-date with the latest AI advancements, including novel learning techniques and algorithmic breakthroughs, and apply these insights to enhance projects.
- Thoughtful Evaluation of AI Architectures: Evaluate and make informed decisions on the most suitable AI architectures for various projects, distinguishing between options like GPT-3, Codex, and others.
- Advanced Model Fine-Tuning: Customize and refine Large Language Models using advanced fine-tuning techniques to tailor them for specific tasks while optimizing parameter efficiency.
- Production-Ready AI Engineering: Design and implement robust AI solutions for seamless production-scale deployment, covering everything from training to deployment.
- Ethical Considerations in AI Design: Ensure that all AI solutions are developed with utmost consideration for ethical implications, including model safety, bias mitigation, and transparency.
Desirable Skills:
- Strong Understanding of Large Language Models (LLMs): Demonstrate a deep understanding of large language models, including their underlying mechanisms and practical applications.
- Real-World AI Project Experience: Showcase a successful track record of applying Large Language Models to real-world problems, supported by a portfolio of projects that illustrate your expertise.
- Current AI Research Awareness: Exhibit a commitment to continuous learning, supported by your familiarity with the latest AI research and methodologies.
- Comprehensive Knowledge of AI Architectures: Possess a solid grasp of various AI model architectures and the ability to explain their differences and applications.
- Fine-Tuning Expertise: Highlight your ability to fine-tune AI models for specific tasks, with a focus on optimizing efficiency and performance.
- Proficiency in Production Environments: Utilize your experience in developing and deploying AI models in a production setting, ensuring scalability and unwavering robustness.
- Strategic Thinking: Approach AI challenges with a strategic mindset, asking critical questions that demonstrate your deep understanding of the broader implications of AI technology.
Requirements:
- Bachelor's or Master's degree in Computer Science, AI, or related field.
- Minimum of 2 years of experience in AI/ML development.
- Strong passion for AI and Machine Learning.
- Eagerness to learn and adapt to new technologies.
- Excellent problem-solving and communication skills.
If you are excited to kickstart your career in AI and Machine Learning with Geekrabit Private Limited, apply now and be part of a dynamic team that's shaping the future of technology.
Geekrabit Private Limited is an equal opportunity employer. We encourage applications from candidates of all backgrounds and experiences.*
How to Apply:
Interested candidates are invited to submit their resumes and a cover letter detailing their relevant experience and passion for AI Engineer . Please send your application to.
If you are excited to kickstart your career in AI and Machine Learning with Geekrabit Private Limited, apply now and be part of a dynamic team that's shaping the future of technology.
Geekrabit Private Limited is an equal opportunity employer. We encourage applications from candidates of all backgrounds and experiences.*
How to Apply:
Interested candidates are invited to submit their resumes and a cover letter detailing their relevant experience and passion for AI/ML development. Please send your application to
kapil.geekrabit@gmail.com
ashutosh.geekrabit@gmail.com
Job Types: Full-time, Permanent
Salary: ₹240,000.00 - ₹450,000.00 per year
Benefits:
Provident Fund
Schedule:
Day shift
Experience:
AI/ML: 2 years (Required)
LLM, Langchain, Hugging Face: 2 years (Required)
BE/B.tech (IT/CS)Must be: 4 years (Required)
Language:
English (Required)
Work Location: Remote
Speak with the employer
+91 7489205587",₹2L - ₹5L (Employer Est.)
