,titles,companies,locations,reviews,noofreviews,descriptions,salaries
461,Senior Data Scientist,Lowe's,"Bengaluru, Karnataka",None,None,None,None
462,Machine Learning,Hr Biz Hub,"Indore, Madhya Pradesh",None,None,None,"₹3,00,000 - ₹6,00,000 a year"
463,Manager–Applied Data Scientist,Tesco,"Bengaluru, Karnataka",None,None,None,None
464,Artificial Intelligence Trainer,StatestreetIT,"Coimbatore, Tamil Nadu",None,None,None,"₹30,000 - ₹40,000 a month"
465,Natural Language Processing (NLP) AI Platform Engineer,Accenture,"Chennai, Tamil Nadu",None,None,None,None
466,Machine Learning Operations Application Developer,Accenture,"Bengaluru, Karnataka",None,None,None,None
467,Robotics and A.I. Trainer,Prag Robotics Private Limited,"Thanjavur, Tamil Nadu",None,None,None,"₹15,000 - ₹25,000 a month"
468,Data Scientist - AI/ML,Philips,"Bengaluru, Karnataka",None,None,None,None
469,Sr Analyst Data Science,Empower,"Bengaluru, Karnataka",None,None,None,None
470,Data Science - Senior Manager,QRight Solutions,"Chennai, Tamil Nadu",None,None,None,"Up to ₹25,00,000 a year"
471,Sr.Data Scientist,A2Z Jobs Consultancy,"Mohali, Punjab",None,None,None,None
472,Analytics Integration Specialist,Cendyn,"Hybrid remote in Hyderabad, Telangana",None,None,None,None
473,Professor- Data Science for university,Authentic Staffing Agency,"Vadodara, Gujarat",None,None,None,"₹20,000 - ₹55,000 a month"
474,Senior Data Scientist,Cognizant Technology Solutions,"Chennai, Tamil Nadu",None,None,None,None
475,Lead Data Scientist-Retail,Kalibre,"Bengaluru, Karnataka",None,None,None,"₹9,12,675.94 - ₹24,34,624.75 a year"
476,Senior Data Scientist,Lowe's,"Bengaluru, Karnataka",None,None,None,None
477,Machine Learning,Hr Biz Hub,"Indore, Madhya Pradesh",None,None,None,"₹3,00,000 - ₹6,00,000 a year"
478,Manager–Applied Data Scientist,Tesco,"Bengaluru, Karnataka",None,None,None,None
479,Artificial Intelligence Trainer,StatestreetIT,"Coimbatore, Tamil Nadu",None,None,None,"₹30,000 - ₹40,000 a month"
480,Natural Language Processing (NLP) AI Platform Engineer,Accenture,"Chennai, Tamil Nadu",None,None,None,None
481,Machine Learning Operations Application Developer,Accenture,"Bengaluru, Karnataka",None,None,None,None
482,Robotics and A.I. Trainer,Prag Robotics Private Limited,"Thanjavur, Tamil Nadu",None,None,None,"₹15,000 - ₹25,000 a month"
483,Data Scientist - AI/ML,Philips,"Bengaluru, Karnataka",None,None,None,None
484,Sr Analyst Data Science,Empower,"Bengaluru, Karnataka",None,None,None,None
485,Data Science - Senior Manager,QRight Solutions,"Chennai, Tamil Nadu",None,None,None,"Up to ₹25,00,000 a year"
486,Sr.Data Scientist,A2Z Jobs Consultancy,"Mohali, Punjab",None,None,None,None
487,Analytics Integration Specialist,Cendyn,"Hybrid remote in Hyderabad, Telangana",None,None,None,None
488,Professor- Data Science for university,Authentic Staffing Agency,"Vadodara, Gujarat",None,None,None,"₹20,000 - ₹55,000 a month"
489,Senior Data Scientist,Cognizant Technology Solutions,"Chennai, Tamil Nadu",None,None,None,None
490,Lead Data Scientist-Retail,Kalibre,"Bengaluru, Karnataka",None,None,None,"₹9,12,675.94 - ₹24,34,624.75 a year"
491,Senior Data Scientist,Lowe's,"Bengaluru, Karnataka",None,None,None,None
492,Machine Learning,Hr Biz Hub,"Indore, Madhya Pradesh",None,None,None,"₹3,00,000 - ₹6,00,000 a year"
493,Manager–Applied Data Scientist,Tesco,"Bengaluru, Karnataka",None,None,None,None
494,Artificial Intelligence Trainer,StatestreetIT,"Coimbatore, Tamil Nadu",None,None,None,"₹30,000 - ₹40,000 a month"
495,Natural Language Processing (NLP) AI Platform Engineer,Accenture,"Chennai, Tamil Nadu",None,None,None,None
496,Machine Learning Operations Application Developer,Accenture,"Bengaluru, Karnataka",None,None,None,None
497,Robotics and A.I. Trainer,Prag Robotics Private Limited,"Thanjavur, Tamil Nadu",None,None,None,"₹15,000 - ₹25,000 a month"
498,Data Scientist - AI/ML,Philips,"Bengaluru, Karnataka",None,None,None,None
499,Sr Analyst Data Science,Empower,"Bengaluru, Karnataka",None,None,None,None
500,Data Science - Senior Manager,QRight Solutions,"Chennai, Tamil Nadu",None,None,None,"Up to ₹25,00,000 a year"
501,Sr.Data Scientist,A2Z Jobs Consultancy,"Mohali, Punjab",None,None,None,None
502,Analytics Integration Specialist,Cendyn,"Hybrid remote in Hyderabad, Telangana",None,None,None,None
503,Professor- Data Science for university,Authentic Staffing Agency,"Vadodara, Gujarat",None,None,None,"₹20,000 - ₹55,000 a month"
504,Senior Data Scientist,Cognizant Technology Solutions,"Chennai, Tamil Nadu",None,None,None,None
505,Lead Data Scientist-Retail,Kalibre,"Bengaluru, Karnataka",None,None,None,"₹9,12,675.94 - ₹24,34,624.75 a year"
506,Senior Data Scientist,Lowe's,"Bengaluru, Karnataka",None,None,None,None
507,Machine Learning,Hr Biz Hub,"Indore, Madhya Pradesh",None,None,None,"₹3,00,000 - ₹6,00,000 a year"
508,Manager–Applied Data Scientist,Tesco,"Bengaluru, Karnataka",None,None,None,None
509,Artificial Intelligence Trainer,StatestreetIT,"Coimbatore, Tamil Nadu",None,None,None,"₹30,000 - ₹40,000 a month"
510,Natural Language Processing (NLP) AI Platform Engineer,Accenture,"Chennai, Tamil Nadu",None,None,None,None
511,Machine Learning Operations Application Developer,Accenture,"Bengaluru, Karnataka",None,None,None,None
512,Robotics and A.I. Trainer,Prag Robotics Private Limited,"Thanjavur, Tamil Nadu",None,None,None,"₹15,000 - ₹25,000 a month"
513,Data Scientist - AI/ML,Philips,"Bengaluru, Karnataka",None,None,None,None
514,Sr Analyst Data Science,Empower,"Bengaluru, Karnataka",None,None,None,None
515,Data Science - Senior Manager,QRight Solutions,"Chennai, Tamil Nadu",None,None,None,"Up to ₹25,00,000 a year"
516,Sr.Data Scientist,A2Z Jobs Consultancy,"Mohali, Punjab",None,None,None,None
517,Analytics Integration Specialist,Cendyn,"Hybrid remote in Hyderabad, Telangana",None,None,None,None
518,Professor- Data Science for university,Authentic Staffing Agency,"Vadodara, Gujarat",None,None,None,"₹20,000 - ₹55,000 a month"
519,Senior Data Scientist,Cognizant Technology Solutions,"Chennai, Tamil Nadu",None,None,None,None
520,Lead Data Scientist-Retail,Kalibre,"Bengaluru, Karnataka",None,None,None,"₹9,12,675.94 - ₹24,34,624.75 a year"
521,Senior Data Scientist,Lowe's,"Bengaluru, Karnataka",None,None,None,None
522,Machine Learning,Hr Biz Hub,"Indore, Madhya Pradesh",None,None,None,"₹3,00,000 - ₹6,00,000 a year"
523,Manager–Applied Data Scientist,Tesco,"Bengaluru, Karnataka",None,None,None,None
524,Artificial Intelligence Trainer,StatestreetIT,"Coimbatore, Tamil Nadu",None,None,None,"₹30,000 - ₹40,000 a month"
525,Natural Language Processing (NLP) AI Platform Engineer,Accenture,"Chennai, Tamil Nadu",None,None,None,None
526,Machine Learning Operations Application Developer,Accenture,"Bengaluru, Karnataka",None,None,None,None
527,Robotics and A.I. Trainer,Prag Robotics Private Limited,"Thanjavur, Tamil Nadu",None,None,None,"₹15,000 - ₹25,000 a month"
528,Data Scientist - AI/ML,Philips,"Bengaluru, Karnataka",None,None,None,None
529,Sr Analyst Data Science,Empower,"Bengaluru, Karnataka",None,None,None,None
530,Data Science - Senior Manager,QRight Solutions,"Chennai, Tamil Nadu",None,None,None,"Up to ₹25,00,000 a year"
531,Sr.Data Scientist,A2Z Jobs Consultancy,"Mohali, Punjab",None,None,None,None
532,Analytics Integration Specialist,Cendyn,"Hybrid remote in Hyderabad, Telangana",None,None,None,None
533,Professor- Data Science for university,Authentic Staffing Agency,"Vadodara, Gujarat",None,None,None,"₹20,000 - ₹55,000 a month"
534,Senior Data Scientist,Cognizant Technology Solutions,"Chennai, Tamil Nadu",None,None,None,None
535,Lead Data Scientist-Retail,Kalibre,"Bengaluru, Karnataka",None,None,None,"₹9,12,675.94 - ₹24,34,624.75 a year"
536,Senior Data Scientist,Lowe's,"Bengaluru, Karnataka",None,None,None,None
537,Machine Learning,Hr Biz Hub,"Indore, Madhya Pradesh",None,None,None,"₹3,00,000 - ₹6,00,000 a year"
538,Manager–Applied Data Scientist,Tesco,"Bengaluru, Karnataka",None,None,None,None
539,Artificial Intelligence Trainer,StatestreetIT,"Coimbatore, Tamil Nadu",None,None,None,"₹30,000 - ₹40,000 a month"
540,Natural Language Processing (NLP) AI Platform Engineer,Accenture,"Chennai, Tamil Nadu",None,None,None,None
541,Machine Learning Operations Application Developer,Accenture,"Bengaluru, Karnataka",None,None,None,None
